,index,Cycle,Party,Type,Catname,Amount,Amount,Amount
,,,,,,sum,count,<lambda>
,,,,,,,,
258,258,2008,R,Individual,Anti-Castro,1000,1,1.0
259,259,2008,R,Individual,Attorneys & law firms,6000,11,0.0909090909091
260,260,2008,R,Individual,Civil servant/public employee,2550,2,0.5
261,261,2008,R,Individual,Coal mining,500,1,1.0
262,262,2008,R,Individual,Commercial TV & radio stations,250,1,1.0
263,263,2008,R,Individual,Commercial banks & bank holding companies,250,1,1.0
264,264,2008,R,Individual,Computer manufacture & services,1000,1,1.0
265,265,2008,R,Individual,"Construction, unclassified",1550,3,0.333333333333
266,266,2008,R,Individual,Crop production & basic processing,2800,3,0.333333333333
267,267,2008,R,Individual,Data processing & computer services,2300,1,1.0
268,268,2008,R,Individual,Defense Research & Development,250,1,1.0
269,269,2008,R,Individual,Dentists,2300,1,1.0
270,270,2008,R,Individual,"Department, variety & convenience stores",500,1,1.0
271,271,2008,R,Individual,Employer listed but category unknown,9200,15,0.0666666666667
272,272,2008,R,Individual,Energy production & distribution,2000,1,1.0
273,273,2008,R,Individual,"Finance, Insurance & Real Estate",2500,1,1.0
274,274,2008,R,Individual,Forestry & Forest Products,1000,1,1.0
275,275,2008,R,Individual,General commerce,221,1,1.0
276,276,2008,R,Individual,Health professionals,1000,1,1.0
277,277,2008,R,Individual,"Homemakers, students & other non-income earners",-310,1,1.0
278,278,2008,R,Individual,"Insurance companies, brokers & agents",500,1,1.0
279,279,2008,R,Individual,Investment banking,5000,1,1.0
280,280,2008,R,Individual,Investors,2800,2,0.5
281,281,2008,R,Individual,Lobbyists & Public Relations,2250,4,0.25
282,282,2008,R,Individual,Lumber and wood products,525,1,1.0
283,283,2008,R,Individual,Military,250,1,1.0
284,284,2008,R,Individual,Motion Picture production & distribution,2300,1,1.0
285,285,2008,R,Individual,No employer listed or discovered,1210,4,0.25
286,286,2008,R,Individual,Nursing homes,1000,1,1.0
287,287,2008,R,Individual,Oil & Gas,1000,1,1.0
288,288,2008,R,Individual,Other physician specialists,1300,4,0.25
289,289,2008,R,Individual,Physicians,750,2,0.5
290,290,2008,R,Individual,Plastics & Rubber processing & products,2000,1,1.0
291,291,2008,R,Individual,"Plumbing, heating & air conditioning",250,1,1.0
292,292,2008,R,Individual,Pro-Guns,250,1,1.0
293,293,2008,R,Individual,"Public works, industrial & commercial construction",500,1,1.0
294,294,2008,R,Individual,Real Estate developers & subdividers,-5000,1,1.0
295,295,2008,R,Individual,Real estate,3525,4,0.25
296,296,2008,R,Individual,Real estate agents,11700,1,1.0
297,297,2008,R,Individual,Republican/Conservative,750,2,0.5
298,298,2008,R,Individual,Residential construction,850,2,0.5
299,299,2008,R,Individual,Restaurants & drinking establishments,5050,4,0.25
300,300,2008,R,Individual,Retired,24800,24,0.0416666666667
301,301,2008,R,Individual,Schools & colleges,500,1,1.0
302,302,2008,R,Individual,Telecommunications,1000,1,1.0
303,303,2008,R,Individual,Telephone utilities,250,1,1.0
304,304,2008,R,Individual,Transfer from intermediary ( type 24I or 24T),1250,2,0.5
305,305,2008,R,Individual,Trucking companies & services,2000,1,1.0
306,306,2008,R,Individual,Wine & distilled spirits manufacturing,3300,2,0.5
307,307,2008,R,PACs,Abortion policy/Anti-Abortion,6138,17,0.0588235294118
308,308,2008,R,PACs,Abortion policy/Pro-Abortion Rights,-1750,2,0.5
309,309,2008,R,PACs,Accident & health insurance,1750,3,0.333333333333
310,310,2008,R,PACs,Accountants,6000,7,0.142857142857
311,311,2008,R,PACs,Advertising & public relations services,-1000,1,1.0
312,312,2008,R,PACs,Agricultural chemicals (fertilizers & pesticides),1000,1,1.0
313,313,2008,R,PACs,Air transport unions,1000,1,1.0
314,314,2008,R,PACs,Alcohol,6500,2,0.5
315,315,2008,R,PACs,Animal Rights,1000,1,1.0
316,316,2008,R,PACs,Anti-Castro,2000,2,0.5
317,317,2008,R,PACs,Architectural services,-3000,3,0.333333333333
318,318,2008,R,PACs,Attorneys & law firms,8900,11,0.0909090909091
319,319,2008,R,PACs,Auto manufacturers,2500,2,0.5
320,320,2008,R,PACs,Beer,500,2,0.5
321,321,2008,R,PACs,Biotech products & research,1000,1,1.0
322,322,2008,R,PACs,"Book, newspaper & periodical publishing",1000,1,1.0
323,323,2008,R,PACs,Building operators and managers,-1500,2,0.5
324,324,2008,R,PACs,Building trades unions,1500,2,0.5
325,325,2008,R,PACs,Business services,1000,1,1.0
326,326,2008,R,PACs,Cable distributors & service providers,1000,1,1.0
327,327,2008,R,PACs,"Casinos, racetracks & gambling",7500,2,0.5
328,328,2008,R,PACs,Chambers of commerce,-5000,1,1.0
329,329,2008,R,PACs,Chemicals,500,3,0.333333333333
330,330,2008,R,PACs,Christian Conservative,500,1,1.0
331,331,2008,R,PACs,Commercial TV & radio stations,6000,2,0.5
332,332,2008,R,PACs,Commercial banks & bank holding companies,36950,19,0.0526315789474
333,333,2008,R,PACs,Commercial printing & typesetting,1000,1,1.0
334,334,2008,R,PACs,Computer components & accessories,0,2,
335,335,2008,R,PACs,Computer software,1000,1,1.0
336,336,2008,R,PACs,Construction equipment,2500,1,1.0
337,337,2008,R,PACs,Corporate lawyers & law firms,5000,3,0.333333333333
338,338,2008,R,PACs,Cotton,1600,3,0.333333333333
339,339,2008,R,PACs,Credit agencies & finance companies,0,2,
340,340,2008,R,PACs,Credit reporting services & collection agencies,1000,1,1.0
341,341,2008,R,PACs,Credit unions,3250,4,0.25
342,342,2008,R,PACs,Data processing & computer services,3300,2,0.5
343,343,2008,R,PACs,Defense aerospace contractors,2500,4,0.25
344,344,2008,R,PACs,Defense electronic contractors,20500,7,0.142857142857
345,345,2008,R,PACs,"Defense policy, hawks",2500,4,0.25
346,346,2008,R,PACs,Democratic Candidate Committees,4500,3,0.333333333333
347,347,2008,R,PACs,Democratic leadership PAC,7000,3,0.333333333333
348,348,2008,R,PACs,Dentists,2500,1,1.0
349,349,2008,R,PACs,"Department, variety & convenience stores",5000,2,0.5
350,350,2008,R,PACs,Direct mail advertising services,124,1,1.0
351,351,2008,R,PACs,Direct sales,-500,1,1.0
352,352,2008,R,PACs,Drug stores,2000,2,0.5
353,353,2008,R,PACs,Electric Power utilities,2250,8,0.125
354,354,2008,R,PACs,"Engineering, architecture & construction mgmt svcs",3000,2,0.5
355,355,2008,R,PACs,Entertainment Industry/Broadcast & Motion Pictures,1000,1,1.0
356,356,2008,R,PACs,Environmental policy,1010,2,0.5
357,357,2008,R,PACs,"Environmental services, equipment & consulting",-1000,2,0.5
358,358,2008,R,PACs,Express delivery services,2000,2,0.5
359,359,2008,R,PACs,Fabricated metal products,2250,2,0.5
360,360,2008,R,PACs,Farm machinery & equipment,1000,1,1.0
361,361,2008,R,PACs,Farm organizations & cooperatives,12500,2,0.5
362,362,2008,R,PACs,Federal employees unions,250,1,1.0
363,363,2008,R,PACs,Financial services & consulting,5000,1,1.0
364,364,2008,R,PACs,Florists & Nursery Services,1000,1,1.0
365,365,2008,R,PACs,Food & Beverage Products and Services,1000,1,1.0
366,366,2008,R,PACs,Food and kindred products manufacturing,2500,1,1.0
367,367,2008,R,PACs,Food catering & food services,500,1,1.0
368,368,2008,R,PACs,Food service & related unions,2500,1,1.0
369,369,2008,R,PACs,For-profit Education,1000,1,1.0
370,370,2008,R,PACs,Forestry & Forest Products,2180,3,0.333333333333
371,371,2008,R,PACs,Funeral services,3000,2,0.5
372,372,2008,R,PACs,Furniture & wood products,1000,1,1.0
373,373,2008,R,PACs,Gas & Electric Utilities,4500,3,0.333333333333
374,374,2008,R,PACs,Gasoline service stations,1000,1,1.0
375,375,2008,R,PACs,General aviation (private pilots),6000,2,0.5
376,376,2008,R,PACs,General business associations,3500,2,0.5
377,377,2008,R,PACs,HMOs,6000,4,0.25
378,378,2008,R,PACs,Hardware & building materials stores,-1000,2,0.5
379,379,2008,R,PACs,Health care products,2500,2,0.5
380,380,2008,R,PACs,Health care services,250,1,1.0
381,381,2008,R,PACs,"Health, Education & Human Resources",500,1,1.0
382,382,2008,R,PACs,Hospitals,-3500,3,0.333333333333
383,383,2008,R,PACs,Hotels & motels,2500,1,1.0
384,384,2008,R,PACs,Independent oil & gas producers,1000,1,1.0
385,385,2008,R,PACs,Industrial/commercial equipment & materials,1500,2,0.5
386,386,2008,R,PACs,Insurance,-500,1,1.0
387,387,2008,R,PACs,"Insurance companies, brokers & agents",12100,7,0.142857142857
388,388,2008,R,PACs,Internal Transfer and other non-contributions,18242,8,0.125
389,389,2008,R,PACs,Investment banking,3000,1,1.0
390,390,2008,R,PACs,"Labor, anti-union",-3000,5,0.2
391,391,2008,R,PACs,Life insurance,4000,1,1.0
392,392,2008,R,PACs,Liquor wholesalers,-3500,4,0.25
393,393,2008,R,PACs,Lobbyists & Public Relations,1027,2,0.5
394,394,2008,R,PACs,Major (multinational) oil & gas producers,4500,6,0.166666666667
395,395,2008,R,PACs,Manufacturing unions,2000,1,1.0
396,396,2008,R,PACs,Meat processing & products,2300,3,0.333333333333
397,397,2008,R,PACs,Medical Devices & Supplies,3500,4,0.25
